classification,avg_trades,avg_risk_size,avg_notional,long_ratio,crossed_share,close_share,fee_bps,turnover_ratio
Fear,3056.0,2330.3033080859777,4431556.89,0.48419292746266995,0.5139190689775356,0.34173909020106313,2.004270478569999,0.04210583905447786
Neutral,779.0,1266.1631905575055,1690484.56,0.42614452835013417,0.6539043181237962,0.401584365745753,3.6472012472186788,0.9978697473527335
Greed,250.0,2333.2533333333336,797679.97,0.5025174985549645,0.6211680249669967,0.23182486924275378,1.9578995731918811,34.62003756134379
Extreme Greed,730.0,3677.8091055573827,4540452.9,0.5184792470542163,0.6880471336197671,0.4993283561547269,6.3178585609955835,0.05498557159058962
