account,total_pnl,mean_pnl,pnl_std,win_rate,profit_day_rate,avg_risk_size,avg_trades_day,n_trading_days,total_volume,crossed_share,long_ratio,open_share,close_share,flip_share,fee_bps,turnover_ratio,gross_profit,gross_loss,max_drawdown,sharpe_proxy,calmar_proxy,profit_factor,loss_day_rate,risk_segment,activity_segment,consistency_segment,execution_segment,cluster,archetype
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,128276.203244,64138.101622,81659.92171239911,0.8817794304880169,1.0,393.12552045605815,3808.0,2,3476039.3200000003,0.9740749824958725,0.4971528780243243,0.35388483580696184,0.3692344429365443,0.0011323657800790064,3.318990110965164,0.09366901560633686,133160.490128,4884.286884,0.0,0.7854293792723704,,27.263036199656614,0.0,Low Ticket,Frequent,Mixed,Aggressive Taker,1,Aggressive Takers
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.614902,54259.307451,66863.96996598267,0.9842767295597484,1.0,708.2712132167833,411.0,2,641060.49,0.9487692307692308,0.30244755244755245,0.13374125874125875,0.0743006993006993,0.0,2.589305023939211,0.10738465652780593,108612.21749200001,93.60258999999999,0.0,0.8114879729487293,,1160.354830907991,0.0,Low Ticket,Selective,Consistent,Aggressive Taker,1,Aggressive Takers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,50982.821567,25879.553074420644,0.826783440995822,1.0,518.0945601985864,4170.0,2,4342810.02,0.709659482161684,0.47936203398035615,0.44561080517136265,0.329194021801678,0.0017816748057525636,2.8835637811192534,0.057315705624487595,142685.01668,40719.373546,0.0,1.9700039417369781,,3.504106381175317,0.0,Low Ticket,Frequent,Mixed,Aggressive Taker,1,Aggressive Takers
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.52289600001,44747.761448000005,6269.142867731186,0.9676722842098935,1.0,1397.0147898539399,6742.5,2,17628001.73,0.100624682257212,0.6152243216071447,0.6184591717257558,0.38120643495754236,0.00021565667457407807,1.1111430515197074,0.04150746411420078,99647.336999,10151.814103,0.0,7.137779819682798,,9.815717268655742,0.0,Low Ticket,Frequent,Consistent,Patient Executor,1,Aggressive Takers
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.57877200001,25703.526257333335,30325.472764467504,0.8238575736065862,0.6666666666666666,935.8498685293911,3738.6666666666665,3,9114660.57,0.8604485154872589,0.4107002286140584,0.6077605671255968,0.3803142662931586,0.0008672892249856965,3.1799872041140573,0.10172808156025122,107034.47235,29923.893578,0.0,0.8475886413038967,,3.576889888042229,0.33333333333333337,Low Ticket,Frequent,Inconsistent,Aggressive Taker,1,Aggressive Takers
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,32260.943817,45607.29298463915,0.5877047480821065,1.0,3693.4206066304932,928.0,2,11679706.010000002,0.8167879311053562,0.7323549965059399,0.1470485468820652,0.12974267275044188,0.0002774694783573807,1.8548418713224417,0.03721601497073658,70115.69557599998,5593.807942,0.0,0.7073637066744064,,12.534519651550807,0.0,Mid Ticket,Selective,Inconsistent,Aggressive Taker,1,Aggressive Takers
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,26748.1236215,27061.691165498392,1.0,1.0,3562.32316586833,166.0,2,1143896.46,0.34467713787085513,0.4988674761427351,0.2643979057591623,0.20680628272251309,0.0,1.5770911798257794,0.05423695000918314,53496.24724300001,0.0,0.0,0.9884128622235491,,,0.0,Mid Ticket,Selective,Consistent,Patient Executor,1,Aggressive Takers
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,18853.086574,2481.0390250481414,0.8988064348728594,1.0,2093.0507951855716,1926.5,2,6780291.47,0.9466436986979904,0.44280931573733373,0.07663856849702802,0.09027075077837532,0.0,2.6586811414631777,0.02738997399488476,71071.437106,33365.263957999996,0.0,7.59886740339934,,2.130102647935419,0.0,Low Ticket,Frequent,Mixed,Aggressive Taker,1,Aggressive Takers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,14838.6323355,8608.14950223787,1.0,1.0,3230.1484251012143,186.0,2,1202872.74,1.0,0.5864372469635627,0.4706477732793522,0.2582995951417004,0.0,3.2443554756817283,0.024566040565692136,29677.264671,0.0,0.0,1.7237888737460225,,,0.0,Mid Ticket,Selective,Consistent,Aggressive Taker,1,Aggressive Takers
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,10879.4158765,15308.01418469826,0.8728070175438596,1.0,5151.995371428571,267.0,2,4448323.26,0.13968253968253969,0.6717460317460318,0.6088888888888889,0.2711111111111111,0.0,1.698355417890557,0.5049360406499043,25620.608866000002,3861.7771129999996,0.0,0.7107006660194342,,6.6344090081617315,0.0,High Ticket,Selective,Mixed,Patient Executor,1,Aggressive Takers
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.567439,-4617.4279065,30964.413944042426,0.5281935825605532,0.3333333333333333,5212.250799060605,102.83333333333333,6,1168623.8499999999,0.5653116726122934,0.5308360510425936,0.40052707913261876,0.16541087410237362,0.0,1.7116605044632367,132.29201927783245,51039.912628000005,78744.48006700001,-59349.677108,-0.14912046825250494,-0.07780038799701569,0.6481713078119574,0.6666666666666667,High Ticket,Selective,Inconsistent,Patient Executor,1,Aggressive Takers
