date,classification,value,trade_count,trader_count,total_pnl,total_volume,avg_trade_usd,crossed_share,long_ratio,close_share
2023-03-28,Greed,59,3,1,0.0,477.0,159.0,1.0,1.0,0.0
2023-11-14,Greed,69,1045,2,155.50335699999994,11555429.76,11057.8275215311,0.9358851674641149,0.4698564593301435,0.46220095693779906
2024-03-09,Extreme Greed,84,6962,5,176965.491774,39406770.25,5660.265764148233,0.550129273197357,0.4841999425452456,0.6205113473139903
2024-07-03,Neutral,50,7097,6,173248.883828,21505667.61,3030.24765534733,0.7985064111596449,0.4892207975200789,0.3777652529237706
2024-10-27,Greed,74,22642,20,1939364.305221,64875073.44,2865.253663103966,0.6553749668757177,0.4577775814857345,0.3448016959632541
2025-02-19,Fear,44,79002,21,5248798.109005,441211680.2,5584.816589453431,0.5092655882129566,0.5076960076960076,0.41340725551251867
