rule,scope,sample_size,median_pnl,mean_pnl,profit_day_rate,win_rate,avg_trade_usd,crossed_share,fee_bps
Crossed share <= 0.57,All matched days,24,43099.2184845,170191.38671116668,0.8333333333333334,0.8315102873672844,3971.8847713765776,0.1969477115449576,1.3464603717099344
Crossed share > 0.57,All matched days,31,20607.446093000002,111417.38748764517,0.7741935483870968,0.8287628507199571,5446.573153494802,0.8940671458881227,3.4928652129237037
Greed ticket size <= $2.5K,Greed and Extreme Greed,14,38752.3548935,136682.50843242859,0.7857142857142857,0.8699829246541608,1425.82550719661,0.5864860964431189,3.562713105293237
Greed ticket size > $2.5K,Greed and Extreme Greed,14,5109.756522,14495.013021285715,0.6428571428571429,0.7674267512808418,8170.398727566021,0.6797353494382927,1.9102142510204192
